,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,9,mois,month
8,11,laisser,let
9,12,car,because
10,13,mettre,to put
11,14,laisse,leash
12,15,ville,city
13,16,chaque,each
14,17,parlé,speak
15,18,arrivé,come
16,19,devrait,should
17,20,bébé,baby
18,21,longtemps,long time
19,22,heures,hours
20,23,vont,will
21,24,pendant,while
22,25,revoir,meet again
23,26,aucune,any
24,27,place,square
25,28,parle,speak
26,29,savais,knew
27,30,étaient,were
28,31,attention,Warning
29,32,voici,here is
30,33,pourrais,could
31,34,affaire,case
32,35,donner,give
33,36,type,type
34,37,leurs,their
35,39,train,train
36,40,corps,body
37,41,endroit,place
38,42,yeux,eyes
39,43,façon,way
40,44,écoute,listen
41,45,dont,whose
42,46,trouve,find
43,47,premier,first
44,48,main,hand
45,50,côté,side
46,51,pouvoir,power
47,52,vieux,old
48,53,sois,be
49,54,tiens,here
50,55,matin,morning
51,56,tellement,so much
52,57,enfant,child
53,58,point,point
54,59,venu,came
55,62,devant,in front of
56,63,vers,towards
57,64,mis,placed
58,65,droit,law
59,66,aimerais,would like to
60,67,aujourd'hui,today
61,68,mari,husband
62,69,cause,cause
63,70,enfin,finally
64,71,espère,hope
65,72,eau,water
66,73,attendez,Wait
67,74,parti,left
68,75,nouvelle,new
69,76,boulot,job
70,77,dirait,would say
71,78,terre,Earth
72,79,donne,given
73,80,loin,far
74,81,fin,end
75,82,croire,believe
76,83,chérie,sweetheart
77,84,gros,large
78,85,aura,will have
79,86,filles,girls
80,88,bureau,office
